Election,ALP,Coalition
1966,55.8,44.2
1969,71.6,28.4
1972,68,32
1974,59.7,40.3
1975,49.3,50.7
1977,54.3,45.7
1980,58.6,41.4
1983,65.5,34.5
1984,62,38
1987,63.2,36.8
1990,58.5,41.5
1993,61.2,38.8
1996,55.5,44.5
1998,62.4,37.6
2001,61.1,38.9
2004,61.5,38.5
2007,63.4,36.6
2010,61.7,38.3
2013,59.9,40.1
2016,61.1,38.9
