Election,ALP,Coalition
1949,49.7,50.3
1951,50.7,49.3
1954,50.7,49.3
1955,40.8,59.2
1958,42.3,57.7
1961,44.5,55.5
1963,42.5,57.5
1966,39.3,60.7
1969,44.9,55.1
1972,50.4,49.6
1974,50.6,49.4
1975,43.8,56.2
1977,44.5,55.5
1980,50.7,49.3
1983,54.5,45.5
1984,53.1,46.9
1987,52.3,47.7
1990,47.5,52.5
1993,51.8,48.2
1996,50.3,49.7
1998,53.5,46.5
2001,52.1,47.9
2004,49,51
2007,54.3,45.7
2010,55.3,44.7
2013,50.2,49.8
2016,51.8,48.2
