Election,ALP,Coalition
1969,40.8,59.2
1972,45.5,54.5
1974,47.3,52.7
1975,45.1,54.9
1977,47.5,52.5
1980,48.8,51.2
1983,51.9,48.1
1984,48.6,51.4
1987,52.2,47.8
1990,55,45
1993,55.3,44.7
1996,49.6,50.4
1998,50.6,49.4
2001,52.5,47.5
2004,52.1,47.9
2007,55.4,44.6
2010,50.7,49.3
2013,49.7,50.3
2016,57.1,42.9
