Election,ALP,Coalition
1949,42.7,57.3
1951,43.5,56.5
1954,44.8,55.2
1955,43.9,56.1
1958,41.4,58.6
1961,50.7,49.3
1963,48.1,51.9
1966,44.3,55.7
1969,49.9,50.1
1972,49.5,50.5
1974,45.4,54.6
1975,39.8,60.2
1977,42,58
1980,46.9,53.1
1983,49.5,50.5
1984,47.7,52.3
1987,49.3,50.7
1990,50.2,49.8
1993,48.4,51.6
1996,39.8,60.2
1998,46.9,53.1
2001,45.1,54.9
2004,42.9,57.1
2007,50.4,49.6
2010,44.9,55.1
2013,43,57
2016,45.9,54.1
