Election,ALP,Coalition
1949,50.6,49.4
1951,51.8,48.2
1954,52.7,47.3
1955,49,51
1958,49.8,50.2
1961,54.2,45.8
1963,53.3,46.7
1966,42.4,57.6
1969,54.2,45.8
1972,52.7,47.3
1974,52.5,47.5
1975,44.9,55.1
1977,48.7,51.3
1980,49.6,50.4
1983,52.3,47.7
1984,51.7,48.3
1987,50.2,49.8
1990,49.5,50.5
1993,47.3,52.7
1996,42.7,57.3
1998,46.9,53.1
2001,45.9,54.1
2004,45.6,54.4
2007,52.4,47.6
2010,53.2,46.8
2013,47.6,52.4
2016,52.3,47.7
