Election,ALP,Coalition
1949,50.8,49.2
1951,50.5,49.5
1954,53,47
1955,49.5,50.5
1958,49.8,50.2
1961,54.8,45.2
1963,49.3,50.7
1966,43.9,56.1
1969,51.6,48.4
1972,55.4,44.6
1974,54.9,45.1
1975,46.8,53.2
1977,47.6,52.4
1980,50.4,49.6
1983,54.1,45.9
1984,52.9,47.1
1987,50.3,49.7
1990,52.1,47.9
1993,54.4,45.6
1996,47.4,52.6
1998,51.5,48.5
2001,48.3,51.7
2004,48.1,51.9
2007,53.7,46.3
2010,48.8,51.2
2013,45.6,54.4
2016,49.5,50.5
