Election,ALP,Coalition
1949,49,51
1951,49.3,50.7
1954,50.7,49.3
1955,45.8,54.2
1958,45.9,54.1
1961,50.5,49.5
1963,47.4,52.6
1966,43.1,56.9
1969,50.2,49.8
1972,52.7,47.3
1974,51.7,48.3
1975,44.3,55.7
1977,45.4,54.6
1980,49.6,50.4
1983,53.2,46.8
1984,51.8,48.2
1987,50.8,49.2
1990,49.9,50.1
1993,51.4,48.6
1996,46.4,53.6
1998,51,49
2001,49,51
2004,47.3,52.7
2007,52.7,47.3
2010,50.1,49.9
2013,46.5,53.5
2016,49.6,50.4
